lft_src,etngrp_src,oplniv_src,lft_dst,etngrp_dst,oplniv_dst,n
"[0,20)",Marokkaans,2,"[30,40)",Autochtoon,3,520
"[0,20)",Marokkaans,2,"[30,40)",Marokkaans,1,420
"[0,20)",Marokkaans,2,"[30,40)",Marokkaans,2,420
"[0,20)",Marokkaans,2,"[30,40)",Marokkaans,3,200
"[0,20)",Marokkaans,2,"[30,40)",Overig,1,180
"[0,20)",Marokkaans,2,"[30,40)",Overig,2,390
"[0,20)",Marokkaans,2,"[30,40)",Overig,3,300
"[0,20)",Marokkaans,2,"[30,40)",Surinaams,1,60
"[0,20)",Marokkaans,2,"[30,40)",Surinaams,2,150
"[0,20)",Marokkaans,2,"[30,40)",Surinaams,3,50
"[0,20)",Marokkaans,2,"[30,40)",Turks,1,210
"[0,20)",Marokkaans,2,"[30,40)",Turks,2,220
"[0,20)",Marokkaans,2,"[30,40)",Turks,3,90
"[0,20)",Marokkaans,2,"[40,50)",Autochtoon,1,100
"[0,20)",Marokkaans,2,"[40,50)",Autochtoon,2,230
"[0,20)",Marokkaans,2,"[40,50)",Autochtoon,3,380
"[0,20)",Marokkaans,2,"[40,50)",Marokkaans,1,950
"[0,20)",Marokkaans,2,"[40,50)",Marokkaans,2,570
"[0,20)",Marokkaans,2,"[40,50)",Marokkaans,3,120
"[0,20)",Marokkaans,2,"[40,50)",Overig,1,290
"[0,20)",Marokkaans,2,"[40,50)",Overig,2,250
"[0,20)",Marokkaans,2,"[40,50)",Overig,3,240
"[0,20)",Marokkaans,2,"[40,50)",Surinaams,1,70
"[0,20)",Marokkaans,2,"[40,50)",Surinaams,2,120
"[0,20)",Marokkaans,2,"[40,50)",Surinaams,3,40
"[0,20)",Marokkaans,2,"[40,50)",Turks,1,480
"[0,20)",Marokkaans,2,"[40,50)",Turks,2,110
"[0,20)",Marokkaans,2,"[40,50)",Turks,3,40
"[0,20)",Marokkaans,2,"[50,60)",Autochtoon,1,270
"[0,20)",Marokkaans,2,"[50,60)",Autochtoon,2,240
"[0,20)",Marokkaans,2,"[50,60)",Autochtoon,3,240
"[0,20)",Marokkaans,2,"[50,60)",Marokkaans,1,860
"[0,20)",Marokkaans,2,"[50,60)",Marokkaans,2,300
"[0,20)",Marokkaans,2,"[50,60)",Marokkaans,3,70
