etngrp_src,geslacht_src,lft_src,etngrp_dst,geslacht_dst,lft_dst,n
Autochtoon,Man,"[50,60)",Overig,Man,"[80,120]",210
Autochtoon,Man,"[50,60)",Overig,Vrouw,"[0,20)",16420
Autochtoon,Man,"[50,60)",Overig,Vrouw,"[20,30)",13070
Autochtoon,Man,"[50,60)",Overig,Vrouw,"[30,40)",16240
Autochtoon,Man,"[50,60)",Overig,Vrouw,"[40,50)",11740
Autochtoon,Man,"[50,60)",Overig,Vrouw,"[50,60)",11230
Autochtoon,Man,"[50,60)",Overig,Vrouw,"[60,70)",6950
Autochtoon,Man,"[50,60)",Overig,Vrouw,"[70,80)",4110
Autochtoon,Man,"[50,60)",Surinaams,Man,"[0,20)",2190
Autochtoon,Man,"[50,60)",Surinaams,Man,"[20,30)",2040
Autochtoon,Man,"[50,60)",Surinaams,Man,"[30,40)",2110
Autochtoon,Man,"[50,60)",Surinaams,Man,"[40,50)",1710
Autochtoon,Man,"[50,60)",Surinaams,Man,"[50,60)",3090
Autochtoon,Man,"[50,60)",Surinaams,Man,"[60,70)",1960
Autochtoon,Man,"[50,60)",Surinaams,Man,"[70,80)",280
Autochtoon,Man,"[50,60)",Surinaams,Vrouw,"[0,20)",2400
Autochtoon,Man,"[50,60)",Surinaams,Vrouw,"[20,30)",1780
Autochtoon,Man,"[50,60)",Surinaams,Vrouw,"[30,40)",2000
Autochtoon,Man,"[50,60)",Surinaams,Vrouw,"[40,50)",2140
Autochtoon,Man,"[50,60)",Surinaams,Vrouw,"[50,60)",3600
Autochtoon,Man,"[50,60)",Surinaams,Vrouw,"[60,70)",2290
Autochtoon,Man,"[50,60)",Surinaams,Vrouw,"[70,80)",1950
Autochtoon,Man,"[50,60)",Turks,Man,"[0,20)",2980
Autochtoon,Man,"[50,60)",Turks,Man,"[20,30)",1930
Autochtoon,Man,"[50,60)",Turks,Man,"[30,40)",2350
Autochtoon,Man,"[50,60)",Turks,Man,"[40,50)",1660
Autochtoon,Man,"[50,60)",Turks,Man,"[50,60)",1730
Autochtoon,Man,"[50,60)",Turks,Man,"[60,70)",140
Autochtoon,Man,"[50,60)",Turks,Vrouw,"[0,20)",2880
Autochtoon,Man,"[50,60)",Turks,Vrouw,"[20,30)",1720
Autochtoon,Man,"[50,60)",Turks,Vrouw,"[30,40)",1840
Autochtoon,Man,"[50,60)",Turks,Vrouw,"[40,50)",1420
Autochtoon,Man,"[50,60)",Turks,Vrouw,"[50,60)",1010
Autochtoon,Man,"[50,60)",Turks,Vrouw,"[60,70)",460
Autochtoon,Man,"[60,70)",Autochtoon,Man,"[0,20)",21150
Autochtoon,Man,"[60,70)",Autochtoon,Man,"[20,30)",13440
