etngrp,geslacht,lft,oplniv,n
Turks,Man,"[30,40)",3,1075
Turks,Man,"[40,50)",1,2046
Turks,Man,"[40,50)",2,1061
Turks,Man,"[40,50)",3,491
Turks,Man,"[50,60)",1,1866
Turks,Man,"[50,60)",2,904
Turks,Man,"[50,60)",3,228
Turks,Man,"[60,70)",1,1003
Turks,Man,"[60,70)",2,117
Turks,Man,"[60,70)",3,78
Turks,Man,"[70,80)",1,587
Turks,Man,"[70,80)",2,6
Turks,Man,"[70,80)",3,6
Turks,Man,"[80,120]",1,200
Turks,Man,"[80,120]",2,0
Turks,Man,"[80,120]",3,0
Turks,Vrouw,"[0,20)",1,5047
Turks,Vrouw,"[0,20)",2,352
Turks,Vrouw,"[0,20)",3,0
Turks,Vrouw,"[20,30)",1,1261
Turks,Vrouw,"[20,30)",2,1871
Turks,Vrouw,"[20,30)",3,566
Turks,Vrouw,"[30,40)",1,1395
Turks,Vrouw,"[30,40)",2,1626
Turks,Vrouw,"[30,40)",3,1077
Turks,Vrouw,"[40,50)",1,2005
Turks,Vrouw,"[40,50)",2,977
Turks,Vrouw,"[40,50)",3,517
Turks,Vrouw,"[50,60)",1,1689
Turks,Vrouw,"[50,60)",2,668
Turks,Vrouw,"[50,60)",3,141
Turks,Vrouw,"[60,70)",1,1158
Turks,Vrouw,"[60,70)",2,38
Turks,Vrouw,"[60,70)",3,2
Turks,Vrouw,"[70,80)",1,600
Turks,Vrouw,"[70,80)",2,0
Turks,Vrouw,"[70,80)",3,0
Turks,Vrouw,"[80,120]",1,0
Turks,Vrouw,"[80,120]",2,0
Turks,Vrouw,"[80,120]",3,0
