etngrp_src,geslacht_src,lft_src,etngrp_dst,geslacht_dst,lft_dst,n
Autochtoon,Man,"[70,80)",Overig,Vrouw,"[30,40)",70
Autochtoon,Man,"[70,80)",Overig,Vrouw,"[40,50)",100
Autochtoon,Man,"[70,80)",Overig,Vrouw,"[60,70)",1460
Autochtoon,Man,"[70,80)",Overig,Vrouw,"[70,80)",4750
Autochtoon,Man,"[80,120]",Autochtoon,Man,"[0,20)",810
Autochtoon,Man,"[80,120]",Autochtoon,Man,"[20,30)",440
Autochtoon,Man,"[80,120]",Autochtoon,Man,"[40,50)",370
Autochtoon,Man,"[80,120]",Autochtoon,Man,"[50,60)",390
Autochtoon,Man,"[80,120]",Autochtoon,Vrouw,"[0,20)",1380
Autochtoon,Man,"[80,120]",Autochtoon,Vrouw,"[20,30)",590
Autochtoon,Man,"[80,120]",Autochtoon,Vrouw,"[50,60)",2970
Autochtoon,Man,"[80,120]",Autochtoon,Vrouw,"[70,80)",9910
Autochtoon,Man,"[80,120]",Autochtoon,Vrouw,"[80,120]",31910
Autochtoon,Vrouw,"[0,20)",Autochtoon,Man,"[0,20)",26710
Autochtoon,Vrouw,"[0,20)",Autochtoon,Man,"[20,30)",4830
Autochtoon,Vrouw,"[0,20)",Autochtoon,Man,"[30,40)",8780
Autochtoon,Vrouw,"[0,20)",Autochtoon,Man,"[40,50)",12090
Autochtoon,Vrouw,"[0,20)",Autochtoon,Man,"[50,60)",7500
Autochtoon,Vrouw,"[0,20)",Autochtoon,Man,"[60,70)",2840
Autochtoon,Vrouw,"[0,20)",Autochtoon,Man,"[70,80)",3280
Autochtoon,Vrouw,"[0,20)",Autochtoon,Man,"[80,120]",1380
Autochtoon,Vrouw,"[0,20)",Autochtoon,Vrouw,"[0,20)",25620
Autochtoon,Vrouw,"[0,20)",Autochtoon,Vrouw,"[20,30)",5300
Autochtoon,Vrouw,"[0,20)",Autochtoon,Vrouw,"[30,40)",10860
Autochtoon,Vrouw,"[0,20)",Autochtoon,Vrouw,"[40,50)",13000
Autochtoon,Vrouw,"[0,20)",Autochtoon,Vrouw,"[50,60)",6940
Autochtoon,Vrouw,"[0,20)",Autochtoon,Vrouw,"[60,70)",3460
Autochtoon,Vrouw,"[0,20)",Autochtoon,Vrouw,"[70,80)",3970
Autochtoon,Vrouw,"[0,20)",Autochtoon,Vrouw,"[80,120]",320
Autochtoon,Vrouw,"[0,20)",Marokkaans,Man,"[0,20)",4280
Autochtoon,Vrouw,"[0,20)",Marokkaans,Man,"[20,30)",2140
Autochtoon,Vrouw,"[0,20)",Marokkaans,Man,"[30,40)",3200
Autochtoon,Vrouw,"[0,20)",Marokkaans,Man,"[40,50)",1180
Autochtoon,Vrouw,"[0,20)",Marokkaans,Man,"[50,60)",520
Autochtoon,Vrouw,"[0,20)",Marokkaans,Man,"[60,70)",820
Autochtoon,Vrouw,"[0,20)",Marokkaans,Man,"[70,80)",550
Autochtoon,Vrouw,"[0,20)",Marokkaans,Man,"[80,120]",50
Autochtoon,Vrouw,"[0,20)",Marokkaans,Vrouw,"[0,20)",4000
Autochtoon,Vrouw,"[0,20)",Marokkaans,Vrouw,"[20,30)",2380
Autochtoon,Vrouw,"[0,20)",Marokkaans,Vrouw,"[30,40)",2830
Autochtoon,Vrouw,"[0,20)",Marokkaans,Vrouw,"[40,50)",1250
Autochtoon,Vrouw,"[0,20)",Marokkaans,Vrouw,"[50,60)",1090
Autochtoon,Vrouw,"[0,20)",Marokkaans,Vrouw,"[60,70)",980
Autochtoon,Vrouw,"[0,20)",Marokkaans,Vrouw,"[70,80)",560
Autochtoon,Vrouw,"[0,20)",Overig,Man,"[0,20)",2320
Autochtoon,Vrouw,"[0,20)",Overig,Man,"[20,30)",980
Autochtoon,Vrouw,"[0,20)",Overig,Man,"[30,40)",2030
Autochtoon,Vrouw,"[0,20)",Overig,Man,"[40,50)",2050
Autochtoon,Vrouw,"[0,20)",Overig,Man,"[50,60)",1120
Autochtoon,Vrouw,"[0,20)",Overig,Man,"[60,70)",860
Autochtoon,Vrouw,"[0,20)",Overig,Man,"[70,80)",490
Autochtoon,Vrouw,"[0,20)",Overig,Vrouw,"[0,20)",2090
Autochtoon,Vrouw,"[0,20)",Overig,Vrouw,"[20,30)",1170
Autochtoon,Vrouw,"[0,20)",Overig,Vrouw,"[30,40)",2780
Autochtoon,Vrouw,"[0,20)",Overig,Vrouw,"[40,50)",2430
Autochtoon,Vrouw,"[0,20)",Overig,Vrouw,"[50,60)",1520
Autochtoon,Vrouw,"[0,20)",Overig,Vrouw,"[60,70)",880
Autochtoon,Vrouw,"[0,20)",Overig,Vrouw,"[70,80)",760
Autochtoon,Vrouw,"[0,20)",Surinaams,Man,"[0,20)",1460
Autochtoon,Vrouw,"[0,20)",Surinaams,Man,"[20,30)",1260
Autochtoon,Vrouw,"[0,20)",Surinaams,Man,"[30,40)",1650
