etngrp_src,geslacht_src,oplniv_src,etngrp_dst,geslacht_dst,oplniv_dst,n
Marokkaans,Vrouw,3,Turks,Vrouw,3,3550
Overig,Man,1,Autochtoon,Man,1,172800
Overig,Man,1,Autochtoon,Man,2,40310
Overig,Man,1,Autochtoon,Man,3,32880
Overig,Man,1,Autochtoon,Vrouw,1,152530
Overig,Man,1,Autochtoon,Vrouw,2,28720
Overig,Man,1,Autochtoon,Vrouw,3,33720
Overig,Man,1,Marokkaans,Man,1,82220
Overig,Man,1,Marokkaans,Man,2,12760
Overig,Man,1,Marokkaans,Man,3,2160
Overig,Man,1,Marokkaans,Vrouw,1,61490
Overig,Man,1,Marokkaans,Vrouw,2,10500
Overig,Man,1,Marokkaans,Vrouw,3,2380
Overig,Man,1,Overig,Man,1,199430
Overig,Man,1,Overig,Man,2,40680
Overig,Man,1,Overig,Man,3,28600
Overig,Man,1,Overig,Vrouw,1,168180
Overig,Man,1,Overig,Vrouw,2,40420
Overig,Man,1,Overig,Vrouw,3,24920
Overig,Man,1,Surinaams,Man,1,55730
Overig,Man,1,Surinaams,Man,2,20520
Overig,Man,1,Surinaams,Man,3,3280
Overig,Man,1,Surinaams,Vrouw,1,44040
Overig,Man,1,Surinaams,Vrouw,2,16480
Overig,Man,1,Surinaams,Vrouw,3,3170
Overig,Man,1,Turks,Man,1,35560
Overig,Man,1,Turks,Man,2,5780
Overig,Man,1,Turks,Man,3,2280
Overig,Man,1,Turks,Vrouw,1,27560
Overig,Man,1,Turks,Vrouw,2,4920
Overig,Man,1,Turks,Vrouw,3,840
Overig,Man,2,Autochtoon,Man,1,24310
Overig,Man,2,Autochtoon,Man,2,123690
Overig,Man,2,Autochtoon,Man,3,83110
Overig,Man,2,Autochtoon,Vrouw,1,18360
Overig,Man,2,Autochtoon,Vrouw,2,98450
Overig,Man,2,Autochtoon,Vrouw,3,88110
Overig,Man,2,Marokkaans,Man,1,17760
Overig,Man,2,Marokkaans,Man,2,27430
Overig,Man,2,Marokkaans,Man,3,3750
Overig,Man,2,Marokkaans,Vrouw,1,7300
Overig,Man,2,Marokkaans,Vrouw,2,16420
Overig,Man,2,Marokkaans,Vrouw,3,4050
Overig,Man,2,Overig,Man,1,40840
Overig,Man,2,Overig,Man,2,135560
Overig,Man,2,Overig,Man,3,122880
Overig,Man,2,Overig,Vrouw,1,30810
Overig,Man,2,Overig,Vrouw,2,99510
Overig,Man,2,Overig,Vrouw,3,53100
Overig,Man,2,Surinaams,Man,1,18990
Overig,Man,2,Surinaams,Man,2,35340
Overig,Man,2,Surinaams,Man,3,5380
Overig,Man,2,Surinaams,Vrouw,1,13890
Overig,Man,2,Surinaams,Vrouw,2,29990
Overig,Man,2,Surinaams,Vrouw,3,9250
Overig,Man,2,Turks,Man,1,8230
Overig,Man,2,Turks,Man,2,13990
Overig,Man,2,Turks,Man,3,4660
Overig,Man,2,Turks,Vrouw,1,3220
Overig,Man,2,Turks,Vrouw,2,8700
Overig,Man,2,Turks,Vrouw,3,2370
Overig,Man,3,Autochtoon,Man,1,16300
Overig,Man,3,Autochtoon,Man,2,79520
Overig,Man,3,Autochtoon,Man,3,364100
Overig,Man,3,Autochtoon,Vrouw,1,13770
Overig,Man,3,Autochtoon,Vrouw,2,75030
Overig,Man,3,Autochtoon,Vrouw,3,319190
Overig,Man,3,Marokkaans,Man,1,11440
Overig,Man,3,Marokkaans,Man,2,17530
Overig,Man,3,Marokkaans,Man,3,8940
Overig,Man,3,Marokkaans,Vrouw,1,13910
Overig,Man,3,Marokkaans,Vrouw,2,15210
Overig,Man,3,Marokkaans,Vrouw,3,9990
Overig,Man,3,Overig,Man,1,28200
Overig,Man,3,Overig,Man,2,94160
Overig,Man,3,Overig,Man,3,431140
Overig,Man,3,Overig,Vrouw,1,17150
Overig,Man,3,Overig,Vrouw,2,65380
Overig,Man,3,Overig,Vrouw,3,496900
Overig,Man,3,Surinaams,Man,1,8250
Overig,Man,3,Surinaams,Man,2,16860
Overig,Man,3,Surinaams,Man,3,9560
Overig,Man,3,Surinaams,Vrouw,1,7170
Overig,Man,3,Surinaams,Vrouw,2,19570
Overig,Man,3,Surinaams,Vrouw,3,15510
Overig,Man,3,Turks,Man,1,6570
Overig,Man,3,Turks,Man,2,10470
Overig,Man,3,Turks,Man,3,7240
Overig,Man,3,Turks,Vrouw,1,4760
Overig,Man,3,Turks,Vrouw,2,5730
Overig,Man,3,Turks,Vrouw,3,7130
