geslacht_src,lft_src,etngrp_src,geslacht_dst,lft_dst,etngrp_dst,n
Man,"[0,20)",Surinaams,Vrouw,"[50,60)",Turks,370
Man,"[0,20)",Surinaams,Vrouw,"[60,70)",Autochtoon,2370
Man,"[0,20)",Surinaams,Vrouw,"[60,70)",Marokkaans,300
Man,"[0,20)",Surinaams,Vrouw,"[60,70)",Overig,1250
Man,"[0,20)",Surinaams,Vrouw,"[60,70)",Surinaams,1230
Man,"[0,20)",Surinaams,Vrouw,"[60,70)",Turks,70
Man,"[0,20)",Surinaams,Vrouw,"[70,80)",Autochtoon,1130
Man,"[0,20)",Surinaams,Vrouw,"[70,80)",Marokkaans,160
Man,"[0,20)",Surinaams,Vrouw,"[70,80)",Overig,570
Man,"[0,20)",Surinaams,Vrouw,"[70,80)",Surinaams,430
Man,"[0,20)",Surinaams,Vrouw,"[80,120]",Autochtoon,930
Man,"[0,20)",Turks,Man,"[0,20)",Autochtoon,4360
Man,"[0,20)",Turks,Man,"[0,20)",Marokkaans,6830
Man,"[0,20)",Turks,Man,"[0,20)",Overig,4470
Man,"[0,20)",Turks,Man,"[0,20)",Surinaams,1170
Man,"[0,20)",Turks,Man,"[0,20)",Turks,3740
Man,"[0,20)",Turks,Man,"[20,30)",Autochtoon,2500
Man,"[0,20)",Turks,Man,"[20,30)",Marokkaans,2200
Man,"[0,20)",Turks,Man,"[20,30)",Overig,5710
Man,"[0,20)",Turks,Man,"[20,30)",Surinaams,860
Man,"[0,20)",Turks,Man,"[20,30)",Turks,2520
Man,"[0,20)",Turks,Man,"[30,40)",Autochtoon,2320
Man,"[0,20)",Turks,Man,"[30,40)",Marokkaans,2030
Man,"[0,20)",Turks,Man,"[30,40)",Overig,3750
Man,"[0,20)",Turks,Man,"[30,40)",Surinaams,620
Man,"[0,20)",Turks,Man,"[30,40)",Turks,1990
Man,"[0,20)",Turks,Man,"[40,50)",Autochtoon,1940
Man,"[0,20)",Turks,Man,"[40,50)",Marokkaans,3160
Man,"[0,20)",Turks,Man,"[40,50)",Overig,2260
Man,"[0,20)",Turks,Man,"[40,50)",Surinaams,520
Man,"[0,20)",Turks,Man,"[40,50)",Turks,2430
Man,"[0,20)",Turks,Man,"[50,60)",Autochtoon,2870
Man,"[0,20)",Turks,Man,"[50,60)",Marokkaans,1880
Man,"[0,20)",Turks,Man,"[50,60)",Overig,2170
Man,"[0,20)",Turks,Man,"[50,60)",Surinaams,670
Man,"[0,20)",Turks,Man,"[50,60)",Turks,1260
Man,"[0,20)",Turks,Man,"[60,70)",Autochtoon,1910
Man,"[0,20)",Turks,Man,"[60,70)",Marokkaans,1030
Man,"[0,20)",Turks,Man,"[60,70)",Overig,1180
Man,"[0,20)",Turks,Man,"[60,70)",Surinaams,390
Man,"[0,20)",Turks,Man,"[60,70)",Turks,280
Man,"[0,20)",Turks,Man,"[70,80)",Autochtoon,1090
Man,"[0,20)",Turks,Man,"[70,80)",Marokkaans,700
Man,"[0,20)",Turks,Man,"[70,80)",Overig,500
Man,"[0,20)",Turks,Man,"[70,80)",Surinaams,40
Man,"[0,20)",Turks,Man,"[70,80)",Turks,240
Man,"[0,20)",Turks,Vrouw,"[0,20)",Autochtoon,3870
Man,"[0,20)",Turks,Vrouw,"[0,20)",Marokkaans,6640
Man,"[0,20)",Turks,Vrouw,"[0,20)",Overig,4360
Man,"[0,20)",Turks,Vrouw,"[0,20)",Surinaams,900
Man,"[0,20)",Turks,Vrouw,"[0,20)",Turks,3430
Man,"[0,20)",Turks,Vrouw,"[20,30)",Autochtoon,2720
Man,"[0,20)",Turks,Vrouw,"[20,30)",Marokkaans,2250
Man,"[0,20)",Turks,Vrouw,"[20,30)",Overig,2020
Man,"[0,20)",Turks,Vrouw,"[20,30)",Surinaams,790
Man,"[0,20)",Turks,Vrouw,"[20,30)",Turks,2330
Man,"[0,20)",Turks,Vrouw,"[30,40)",Autochtoon,2100
Man,"[0,20)",Turks,Vrouw,"[30,40)",Marokkaans,2940
Man,"[0,20)",Turks,Vrouw,"[30,40)",Overig,4460
Man,"[0,20)",Turks,Vrouw,"[30,40)",Surinaams,830
Man,"[0,20)",Turks,Vrouw,"[30,40)",Turks,1980
Man,"[0,20)",Turks,Vrouw,"[40,50)",Autochtoon,2200
Man,"[0,20)",Turks,Vrouw,"[40,50)",Marokkaans,2690
Man,"[0,20)",Turks,Vrouw,"[40,50)",Overig,2290
Man,"[0,20)",Turks,Vrouw,"[40,50)",Surinaams,810
Man,"[0,20)",Turks,Vrouw,"[40,50)",Turks,1690
Man,"[0,20)",Turks,Vrouw,"[50,60)",Autochtoon,2460
Man,"[0,20)",Turks,Vrouw,"[50,60)",Marokkaans,1540
Man,"[0,20)",Turks,Vrouw,"[50,60)",Overig,1860
Man,"[0,20)",Turks,Vrouw,"[50,60)",Surinaams,1080
Man,"[0,20)",Turks,Vrouw,"[50,60)",Turks,990
Man,"[0,20)",Turks,Vrouw,"[60,70)",Autochtoon,2050
Man,"[0,20)",Turks,Vrouw,"[60,70)",Marokkaans,920
Man,"[0,20)",Turks,Vrouw,"[60,70)",Overig,1180
Man,"[0,20)",Turks,Vrouw,"[60,70)",Surinaams,670
Man,"[0,20)",Turks,Vrouw,"[60,70)",Turks,700
Man,"[0,20)",Turks,Vrouw,"[70,80)",Autochtoon,1780
