etngrp_src,lft_src,oplniv_src,etngrp_dst,lft_dst,oplniv_dst,n
Autochtoon,"[20,30)",2,Autochtoon,"[0,20)",3,350
Autochtoon,"[20,30)",2,Autochtoon,"[20,30)",1,7340
Autochtoon,"[20,30)",2,Autochtoon,"[20,30)",2,427620
Autochtoon,"[20,30)",2,Autochtoon,"[20,30)",3,120160
Autochtoon,"[20,30)",2,Autochtoon,"[30,40)",1,3470
Autochtoon,"[20,30)",2,Autochtoon,"[30,40)",2,23690
Autochtoon,"[20,30)",2,Autochtoon,"[30,40)",3,66770
Autochtoon,"[20,30)",2,Autochtoon,"[40,50)",1,4060
Autochtoon,"[20,30)",2,Autochtoon,"[40,50)",2,16290
Autochtoon,"[20,30)",2,Autochtoon,"[40,50)",3,28720
Autochtoon,"[20,30)",2,Autochtoon,"[50,60)",1,6930
Autochtoon,"[20,30)",2,Autochtoon,"[50,60)",2,18810
Autochtoon,"[20,30)",2,Autochtoon,"[50,60)",3,23330
Autochtoon,"[20,30)",2,Autochtoon,"[60,70)",1,3570
