lft_src,etngrp_src,lft_dst,etngrp_dst,n
"[30,40)",Surinaams,"[50,60)",Turks,1970
"[30,40)",Surinaams,"[60,70)",Autochtoon,14250
"[30,40)",Surinaams,"[60,70)",Marokkaans,240
"[30,40)",Surinaams,"[60,70)",Overig,5900
"[30,40)",Surinaams,"[60,70)",Surinaams,5910
"[30,40)",Surinaams,"[60,70)",Turks,20
"[30,40)",Surinaams,"[70,80)",Autochtoon,220
"[30,40)",Surinaams,"[70,80)",Surinaams,10
"[30,40)",Turks,"[0,20)",Autochtoon,2060
"[30,40)",Turks,"[0,20)",Marokkaans,4520
"[30,40)",Turks,"[0,20)",Overig,2680
"[30,40)",Turks,"[0,20)",Surinaams,980
"[30,40)",Turks,"[0,20)",Turks,3150
"[30,40)",Turks,"[20,30)",Autochtoon,18830
"[30,40)",Turks,"[20,30)",Marokkaans,7550
"[30,40)",Turks,"[20,30)",Overig,16660
"[30,40)",Turks,"[20,30)",Surinaams,3240
"[30,40)",Turks,"[20,30)",Turks,8350
"[30,40)",Turks,"[30,40)",Autochtoon,19040
"[30,40)",Turks,"[30,40)",Marokkaans,8840
"[30,40)",Turks,"[30,40)",Overig,17530
"[30,40)",Turks,"[30,40)",Surinaams,4010
"[30,40)",Turks,"[30,40)",Turks,14450
"[30,40)",Turks,"[40,50)",Autochtoon,13920
"[30,40)",Turks,"[40,50)",Marokkaans,5480
"[30,40)",Turks,"[40,50)",Overig,8480
"[30,40)",Turks,"[40,50)",Surinaams,3180
"[30,40)",Turks,"[40,50)",Turks,13640
"[30,40)",Turks,"[50,60)",Autochtoon,16540
"[30,40)",Turks,"[50,60)",Marokkaans,3130
"[30,40)",Turks,"[50,60)",Overig,7900
"[30,40)",Turks,"[50,60)",Surinaams,4300
"[30,40)",Turks,"[50,60)",Turks,7180
"[30,40)",Turks,"[60,70)",Autochtoon,7410
"[30,40)",Turks,"[60,70)",Marokkaans,450
"[30,40)",Turks,"[60,70)",Overig,3260
"[30,40)",Turks,"[60,70)",Surinaams,1630
"[30,40)",Turks,"[60,70)",Turks,400
"[40,50)",Autochtoon,"[0,20)",Autochtoon,10030
"[40,50)",Autochtoon,"[0,20)",Marokkaans,6020
"[40,50)",Autochtoon,"[0,20)",Overig,7910
"[40,50)",Autochtoon,"[0,20)",Surinaams,3170
"[40,50)",Autochtoon,"[0,20)",Turks,2460
"[40,50)",Autochtoon,"[20,30)",Autochtoon,213230
"[40,50)",Autochtoon,"[20,30)",Marokkaans,22360
"[40,50)",Autochtoon,"[20,30)",Overig,105940
"[40,50)",Autochtoon,"[20,30)",Surinaams,18480
"[40,50)",Autochtoon,"[20,30)",Turks,11710
"[40,50)",Autochtoon,"[30,40)",Autochtoon,270030
"[40,50)",Autochtoon,"[30,40)",Marokkaans,26390
"[40,50)",Autochtoon,"[30,40)",Overig,180470
"[40,50)",Autochtoon,"[30,40)",Surinaams,26140
"[40,50)",Autochtoon,"[30,40)",Turks,12480
"[40,50)",Autochtoon,"[40,50)",Autochtoon,213440
"[40,50)",Autochtoon,"[40,50)",Marokkaans,24480
"[40,50)",Autochtoon,"[40,50)",Overig,88450
"[40,50)",Autochtoon,"[40,50)",Surinaams,26130
"[40,50)",Autochtoon,"[40,50)",Turks,10460
"[40,50)",Autochtoon,"[50,60)",Autochtoon,225170
