etngrp_src,lft_src,etngrp_dst,lft_dst,n
Autochtoon,"[30,40)",Turks,"[0,20)",3670
Autochtoon,"[30,40)",Turks,"[20,30)",17360
Autochtoon,"[30,40)",Turks,"[30,40)",16920
Autochtoon,"[30,40)",Turks,"[40,50)",10150
Autochtoon,"[30,40)",Turks,"[50,60)",7010
Autochtoon,"[30,40)",Turks,"[60,70)",480
Autochtoon,"[40,50)",Autochtoon,"[0,20)",10030
Autochtoon,"[40,50)",Autochtoon,"[20,30)",213230
Autochtoon,"[40,50)",Autochtoon,"[30,40)",270030
Autochtoon,"[40,50)",Autochtoon,"[40,50)",213440
Autochtoon,"[40,50)",Autochtoon,"[50,60)",225170
Autochtoon,"[40,50)",Autochtoon,"[60,70)",107460
Autochtoon,"[40,50)",Autochtoon,"[70,80)",1220
Autochtoon,"[40,50)",Marokkaans,"[0,20)",6020
Autochtoon,"[40,50)",Marokkaans,"[20,30)",22360
Autochtoon,"[40,50)",Marokkaans,"[30,40)",26390
Autochtoon,"[40,50)",Marokkaans,"[40,50)",24480
Autochtoon,"[40,50)",Marokkaans,"[50,60)",9970
Autochtoon,"[40,50)",Marokkaans,"[60,70)",1840
Autochtoon,"[40,50)",Overig,"[0,20)",7910
Autochtoon,"[40,50)",Overig,"[20,30)",105940
Autochtoon,"[40,50)",Overig,"[30,40)",180470
Autochtoon,"[40,50)",Overig,"[40,50)",88450
Autochtoon,"[40,50)",Overig,"[50,60)",74070
Autochtoon,"[40,50)",Overig,"[60,70)",29120
Autochtoon,"[40,50)",Overig,"[70,80)",80
Autochtoon,"[40,50)",Surinaams,"[0,20)",3170
Autochtoon,"[40,50)",Surinaams,"[20,30)",18480
Autochtoon,"[40,50)",Surinaams,"[30,40)",26140
Autochtoon,"[40,50)",Surinaams,"[40,50)",26130
Autochtoon,"[40,50)",Surinaams,"[50,60)",31600
Autochtoon,"[40,50)",Surinaams,"[60,70)",12990
Autochtoon,"[40,50)",Turks,"[0,20)",2460
Autochtoon,"[40,50)",Turks,"[20,30)",11710
Autochtoon,"[40,50)",Turks,"[30,40)",12480
Autochtoon,"[40,50)",Turks,"[40,50)",10460
Autochtoon,"[40,50)",Turks,"[50,60)",7500
Autochtoon,"[40,50)",Turks,"[60,70)",540
Autochtoon,"[50,60)",Autochtoon,"[0,20)",10750
Autochtoon,"[50,60)",Autochtoon,"[20,30)",188740
Autochtoon,"[50,60)",Autochtoon,"[30,40)",249700
Autochtoon,"[50,60)",Autochtoon,"[40,50)",228840
Autochtoon,"[50,60)",Autochtoon,"[50,60)",294360
Autochtoon,"[50,60)",Autochtoon,"[60,70)",151660
Autochtoon,"[50,60)",Autochtoon,"[70,80)",2310
Autochtoon,"[50,60)",Marokkaans,"[0,20)",6350
Autochtoon,"[50,60)",Marokkaans,"[20,30)",25790
